081ff9bb table/code pointer (aligned) | 帕奇利兹：兹！
09898ce1 table/code pointer (aligned) | 曹明耀：怎么样，找到吾思了吗？\p[b0][b0]没有吗，也在意料之中呢。\p不过吾思不像是会战斗的\n宝可梦驯化师，\p她应该不会超出我们的\n安全行动区域。\p那么，就去其他地方找找吧。
0989ae95 other unaligned pointer | 曹明耀：怎么样，找到吾思了吗？\p[b0][b0]没有吗，也在意料之中呢。\p不过吾思不像是会战斗的\n宝可梦驯化师，\p她应该不会超出我们的\n安全行动区域。\p那么，就去其他地方找找吧。
0989b470 table/code pointer (aligned) | 曹明耀：[b0][b0]刚石和珠贝都指向了\n天冠山麓这个地方啊。\l我们去那边找找线索吗？
0989e827 other unaligned pointer | 曹刚石：是陌生的面孔呢。\n我是金刚队的首领，刚石。\l请问来找我有什么事吗？\p[b0][b0]寻找望罗吗\n很抱歉，我已经很久没有见到过他了。\p不知道是从什么时候开始，\n他就消失在了大家的生活中。\p加上洗翠各地都出现的异常时空歪曲，\n我们也无暇顾及他的去向。\l也不知道金刚队的伙伴们怎么样了[b0][b0]\p要是我再强一点，\n那时就不会受这样的伤了。\l金刚队世代相传的秘宝也不会被[b0][b0]\p可恶[b0][b0]金刚队的大家，\n再给我点时间[b0][b0]\p啊抱歉，我失态了[b0][b0]\p你腰间挂着的是[b0][b0]精灵球？\n你也是宝可梦驯化师吗？\p从你身上，\n我感受到了一丝奇怪的感觉。\l就像是一种[b0][b0]很悠远的力量。\p之前去天冠山麓也有过同样的感觉。\n也许这能成为帮助你的线索。
098a0c04 trainer battle text | 哎你就给我永远留在这里吧！{fc01} 
098a1c5d trainer battle text | 哎你就给我永远留在这里吧！{fc01} 
098a46af other unaligned pointer + table/code pointer (aligned) | 曹一个小土堆，可以看到几片\n针刺般的叶子从土里伸出来。\p要踩一踩吗？
098a4e44 other unaligned pointer + table/code pointer (aligned) | 曹一滩小水洼，\n能隐约闻到贝壳的气味？
098a9e70 other unaligned pointer | 孪抽澈我是小光，\n正在山梨博士身边担任助手，\l帮博士完成神奥地区的宝可梦图鉴。\p你是[b0][b0]{fd01}啊，\n诨？丰缘地区的冠军？！\l明明从外表上看和我差不多年纪呀！\p也许和你来一场对战就可以找出\n你这么厉害的秘密呢！\p怎么样，要和我来一场宝可梦对战吗？\n我也可以教你很多事喑！\l因为我是前辈训练家呀！
098aa12a other unaligned pointer | 曹你好！我是小光，\n正在山梨博士身边担任助手，\l帮博士完成神奥地区的宝可梦图鉴。\p你是[b0][b0]{fd01}啊，\n诨？丰缘地区的冠军？！\l明明从外表上看和我差不多年纪呀！\p也许和你来一场对战就可以找出\n你这么厉害的秘密呢！\p怎么样，要和我来一场宝可梦对战吗？\n我也可以教你很多事喑！\l因为我是前辈训练家呀！
098aa3ba other unaligned pointer | 曹明辉：啊{fd01}是你啊！\n怎么样，神奥地区的旅行还顺利吗？\l我正在帮山梨博士和小光收集图鉴哦\p我发现即使是相同的宝可梦，\n在不同训练师的培育之下，\l所采取的战斗方式也截然不同呢。\p为了进一步验证我的推论，\n请和我对战吧！
098ab12a other unaligned pointer | 曹小银：{fd01}你来了啊。\n哼[b0][b0]真不想让你看到我现在的狼狈样\p[b0][b0]你觉得必须具备什么才能变得更强？\n要拥有强大的宝可梦吗？\l还是要修行得够多？\p[b0][b0]唣，今天说的话一点也不像我。\n我需要转换一下心情[b0][b0]\l跟我来场对战吧！
098ab6b3 other unaligned pointer | 曹琴音：呀，是{fd01}啊！\p怎么样，这个地方可是我选的哦！\l苑之花海真是太棒啦！\p刚才和阿金对战的时候，\n发现他又变得更强了！\p身为他的朋友，\n我的心情很复杂，\l感觉既高兴又不甘心[b0][b0]\p{fd01}，你来陪我特训一下吧！\n我不想被阿金丢下呀！
098ad2f3 other unaligned pointer | 曹是你啊{fd01}，布莱克刚刚还提起你呢。\p我们遇到了几位看起来与我们\n在合众地区认识的朋友非常相似的人。\p但她们并不是我们所熟知的人，\n恐怕是被究极之洞牵连到的其他世界吧\p她们提出要和我们合租这间房子，\n我本来出于可能暴露究极联盟而想拒绝\p但她实在是太像白慈了[b0][b0]\n布莱克那家伙因为这事笑了我一个星期\p咳咳咳，不说这个了。\n这么久不见，不知道你的实力有没有退步呢\l要来练两把吗？
098ad9c2 other unaligned pointer | 曹黑连：又见面了啊，{fd01}！\n神奥旅行还顺利吗？\l在旅行的过程中也不能停下学习哦！\p正好，我刚刚想到一套战术，\n能拜托你当我的对手模拟实战吗？
098ae2a3 other unaligned pointer | 曹又见面了，{fd01}。\p养好伤后，我收到了以太基金会的报告\n在攻入彩虹火箭队基地的作战中，\l于外围的究极空间捕获到数只究极异兽\p有了先前在阿罗拉被控制的经验，\n这次我终于能掌控究极异兽的力量了！\p但对究极异兽的实战数据还比较少，\n{fd01}你能来陪我练习一下吗？
098ae4d3 other unaligned pointer | 曹朗日：阿罗拉！{fd01}你好呀！\n世锦赛期间我们就暂住在这里啦！\p彩虹火箭队事件让我意识到，\n我还不够强，我要变得更强！\l像诸岛巡礼那样去挑战强者！\p所以{fd01}，来对战吧！
098aeafb other unaligned pointer | 曹格拉吉欧：{fd01}你也来了啊，\n又见到你了。\l我的伤[b0][b0]嗬，已经没什么问题了。\p哼[b0][b0]这样下去可不行啊[b0][b0]\n这不是什么都没保护好吗！\p身为一名训练师，身为一个兄长[b0][b0]\n我要变得更强，所以现在也要不断修行\l来和我一起对战吧，{fd01}！
098aed52 other unaligned pointer | 曹莉莉艾：呀！是{fd01}啊！\n阿罗拉！\p[b0][b0]看着哥哥和母亲都在保护我，\n我真的很难受[b0][b0]\p我不能再那么软弱了！我也[b0][b0]能做到！\n我也要[b0][b0]成为训练师！\p{fd01}，能助我一臂之力吗？
098af401 table/code pointer (aligned) | 曹我是伊布狂热者！\n伊布就是我的全部！\l小小的，毛茸茸的[b0][b0]嘿嘿嘿[b0][b0]\p咳咳，如你所见我的伊布有一点点多，\n我需要一些进化石来让它们进化。
098afa79 table/code pointer (aligned) | 曹艾克斯：{fd01}你也来神奥旅行啦！\n世界锦标赛期间我会暂住在这里，\l同时为了世界锦标赛而继续修行。\p每个人都有自己的一套变强的方法，\n我会用跟你不一样的方法来变强的。\l如果大家都用同一种方法那就太无趣了\p怎么样，来和我练练？
098afe89 table/code pointer (aligned) | 曹莎莉娜：呀！又见面了！\n华丽大赛会场上的那位训练师！\p你和宝可梦在表演赛舞台上战斗的身姿\n一直在我脑海中挥之不去。\p我也要像你一样又华丽又有实力，\n这样才能离卡洛斯女王的梦想更近一步\l能让我再观察一下你战斗的样子吗？
098b077f other unaligned pointer | 曹你好，我是来自尖钉镇的玛俐。\p[b0][b0]我的精灵好像很喜欢你啊，\n你身上是不是有什么魔力？\l开玩笑的啦，但你的气质确实不一般哦\p[b0][b0]呀，你就是那个传闻中的{fd01}啊。\n你的事迹在各个地区的馆主间传开了哦\l怪不得我的宝可梦特别注意你呐。\p不过，我也是一名馆主，\n论对战的话，可不能小瞧我哦\l要来比试比试吗？
098b09eb table/code pointer (aligned) | 曹你看不到出现在洗翠各地的宝可梦了？\n我来让它们重新出现吧
098b0c2d other unaligned pointer | 曹小驱：又见面了啊{fd01}！\n和搭档宝可梦的相处还好吗？\l需要给它们学习搭档专属的招式吗？
098b0c98 table/code pointer (aligned) | 曹小驱：又见面了啊{fd01}！\n和搭档宝可梦的相处还好吗？\l需要给它们学习搭档专属的招式吗？
098b0f10 other unaligned pointer | 曹步美：{fd01}你也来神奥地区玩啦！\n还是说，你也是来参加世界锦标赛的？\p大木博士说，世锦赛上强者如云，\n是一个锻炼的好机会呢！\p但是小驱还要研究搭档宝可梦的事情，\n所以只能我来参赛了呜[b0][b0]\l{fd01}你可以来陪我练习一下吗？
098b1dff table/code pointer (aligned) | 不知为何，\n感受到一股未知来源的恐惧感。\l还是别靠近山顶吧？
098b2093 table/code pointer (aligned) | \n下山的道路已被云雾覆盖，\n贸然下山可能有危险。\l要尝试下山吗？
098bc3f0 other unaligned pointer | 曹艾莉丝：是{fd01}啊！\n你也在天冠山里锻炼宝可梦吗？\p决定参加世界锦标赛后，\n我和阿渡先生决定来神奥地区锻炼。\l他现在应该在外面吧。\p你也会参加世界锦标赛吧？\n在开幕前我们来对战一场吧！
098bc5ac other unaligned pointer | 曹阿渡：哟！是{fd01}啊！\p报名世界锦标赛后，\n我决定要到神奥地区修行一番，\p于是叫上了同为龙属性使用者的艾莉丝\n一同来到这天冠山上修行。\p你呢？与上次见面时相比变强了多少？\n就让我的宝可梦领教一下吧！
098bc792 other unaligned pointer | 曹大吾：{fd01}，是你来了啊。\p听说黑金炭坑有稀有的石头，\n于是我就过来寻找了。\p不过比起石头，我现在更想做另一件事\p走遍了丰缘大地与神奥地区，\n你和宝可梦在旅途中看到了什么？\p遢迤了那么多的训练师，\n你都会有什么样的感受？\p与彩虹火箭队的交战[b0][b0]\n有没有使你对待宝可梦的态度变化？\p不如就用一场对战\n来告诉我你心中的答案吧！
098bcaa3 other unaligned pointer | 曹阿戴克：哦！你来了啊！\n世界锦标赛在不久后就开幕了，\l不用我多说你也会参加对吧！\p你已经是丰缘地区最强的训练师了，\n但你会就此止步不前还是会继续往上呢\l能让我也领教一下吗！
098bef31 other unaligned pointer + table/code pointer (aligned) | 唉那么，来看看要点什么吧。
098bf5a1 table/code pointer (aligned) | 魔幻森林
098bf5aa table/code pointer (aligned) | 彩虹火箭队
098bf5b5 table/code pointer (aligned) | 终焉山顶
098bfc6b other unaligned pointer | 氯曹小刚：你好，我是来自关都地区的\n岩石属性道馆馆主小刚，\l现在正作为宝可梦医生在实习中。\p宝可梦医生虽然辛苦，但只要能和乔[b0][b0]\n咳咳，和宝可梦一起，就无所畏惧！
098c284a other unaligned pointer |   医疗组员：放心吧，\n医疗组会为你治疗的。
098c34e4 other unaligned pointer | 曹陡峭的斜向山崖，\n难以依靠自行车攀爬。\p要借助宝可梦的力量攀上山崖吗？
098c5c30 other unaligned pointer | 曹你好，我叫艾梦，\p不知道为什么，\n他们都说我是钢系天王，\l但真是这样吗？\p明明我用的都只是喜欢的精灵，\n凭什么这样说我。\p那么，来一场对战吧！\n让你见识一下我的钢系[b0]\l哦[b0]不，真爱大队！
09d2f0ea table/code pointer (aligned) | 降低对手特攻。
09d2f0f8 table/code pointer (aligned) | 降低对手特攻。
09d2f106 table/code pointer (aligned) | 使五回合内脚下变成电气场地。
09d2f122 table/code pointer (aligned) | 使五回合内脚下变成电气场地。
09d2f13e table/code pointer (aligned) | 降低对手速度。
09d2f14c table/code pointer (aligned) | 降低对手速度。
09d2f15a table/code pointer (aligned) | 提升我方攻击。
09d2f168 table/code pointer (aligned) | 提升我方攻击。
09d2f176 table/code pointer (aligned) | 降低对手防御。
09d2f184 table/code pointer (aligned) | 降低对手防御。
09d2f192 table/code pointer (aligned) | 使五回合内降下冰雹。
09d2f1a6 table/code pointer (aligned) | 使五回合内降下冰雹。
09d2f1ba table/code pointer (aligned) | 提升我方特攻。
09d2f1c8 table/code pointer (aligned) | 提升我方特攻。
09d2f1d6 table/code pointer (aligned) | 使五回合内降下大雨。
09d2f1ea table/code pointer (aligned) | 使五回合内降下大雨。
09d2f1fe table/code pointer (aligned) | 提升我方速度。
09d2f20c table/code pointer (aligned) | 提升我方速度。
09d2f21a table/code pointer (aligned) | 使五回合内脚下变成薄雾场地。
09d2f236 table/code pointer (aligned) | 使五回合内脚下变成薄雾场地。
09d2f252 table/code pointer (aligned) | 降低对手攻击。
09d2f260 table/code pointer (aligned) | 降低对手攻击。
09d2f26e table/code pointer (aligned) | 使五回合内脚下变成精神场地。
09d2f28a table/code pointer (aligned) | 使五回合内脚下变成精神场地。
09d2f2ce table/code pointer (aligned) | 提升我方特防。
09d2f2dc table/code pointer (aligned) | 提升我方特防。
09d2f2ea table/code pointer (aligned) | 降低对手特防。
09d2f2f8 table/code pointer (aligned) | 降低对手特防。
09d2f306 table/code pointer (aligned) | 使五回合内脚下变成青草场地。
09d2f322 table/code pointer (aligned) | 使五回合内脚下变成青草场地。
09d2f33e table/code pointer (aligned) | 提升我方防御。
09d2f34c table/code pointer (aligned) | 提升我方防御。
09d2f35a table/code pointer (aligned) | 四回合内持续对火属性外宝可梦造成伤害。
09d2f380 table/code pointer (aligned) | 四回合内持续对火属性外宝可梦造成伤害。
09d2f3a6 table/code pointer (aligned) | 使所有对手随机陷入混乱[3a]麻痹或睡眠。
09d2f3c9 table/code pointer (aligned) | 使所有对手随机陷入混乱[3a]麻痹或睡眠。
09d2f3ec table/code pointer (aligned) | 使所有对手陷入麻痹。
09d2f400 table/code pointer (aligned) | 使所有对手陷入麻痹。
09d2f414 table/code pointer (aligned) | 散落金钱，使所有对手陷入混乱。
09d2f431 table/code pointer (aligned) | 散落金钱，使所有对手陷入混乱。
09d2f44e table/code pointer (aligned) | 使己方全员会心率上升一级。
09d2f468 table/code pointer (aligned) | 使己方全员会心率上升一级。
09d2f482 table/code pointer (aligned) | 使对手无法逃走。
09d2f492 table/code pointer (aligned) | 使对手无法逃走。
09d2f4f6 table/code pointer (aligned) | 使吃掉的树果再生。
09d2f508 table/code pointer (aligned) | 使吃掉的树果再生。
09d2f51a table/code pointer (aligned) | 使所有对手陷入中毒。
09d2f52e table/code pointer (aligned) | 使所有对手陷入中毒。
09d2f56a table/code pointer (aligned) | 能清除场地效果。
09d2f57a table/code pointer (aligned) | 能清除场地效果。
09d2f58a table/code pointer (aligned) | 使所有对手陷入中毒或麻痹。
09d2f5a4 table/code pointer (aligned) | 使所有对手陷入中毒或麻痹。
09d2f5be table/code pointer (aligned) | 回复我方生命值。
09d2f5ce table/code pointer (aligned) | 回复我方生命值。
09d2f636 table/code pointer (aligned) | 在四回合内给予对手伤害。
09d2f64e table/code pointer (aligned) | 在四回合内给予对手伤害。
09d2f6b4 table/code pointer (aligned) | 可使对手陷入沉睡。
09d2f6c6 table/code pointer (aligned) | 可使对手陷入沉睡。
09d2f6d8 table/code pointer (aligned) | 降低对手闪避。
09d2f6e6 table/code pointer (aligned) | 降低对手闪避。
09d2f6f4 table/code pointer (aligned) | 治愈我方异常状态。
09d2f706 table/code pointer (aligned) | 治愈我方异常状态。
09d2f718 table/code pointer (aligned) | 使所有对手陷入混乱。
09d2f72c table/code pointer (aligned) | 使所有对手陷入混乱。
09d2f740 table/code pointer (aligned) | 向对方场地撒下尖刺。
09d2f754 table/code pointer (aligned) | 向对方场地撒下尖刺。
09d2f798 table/code pointer (aligned) | 大幅降低对方速度
09d2f7a9 table/code pointer (aligned) | 大幅降低对方速度
09d30151 table/code pointer (aligned) | 四回合内持续对草属性外宝可梦造成伤害。
09d30177 table/code pointer (aligned) | 四回合内持续对草属性外宝可梦造成伤害。
09d3019d table/code pointer (aligned) | 四回合内持续对水属性外宝可梦造成伤害。
09d301c3 table/code pointer (aligned) | 四回合内持续对水属性外宝可梦造成伤害。
09d301e9 table/code pointer (aligned) | 无视极巨防壁的一击。
09d301fd table/code pointer (aligned) | 无视极巨防壁的一击。
09d30211 table/code pointer (aligned) | 无视极巨防壁的连击。
09d30225 table/code pointer (aligned) | 无视极巨防壁的连击。
09d30239 table/code pointer (aligned) | 无视极巨防壁的连击。
09d749fc table/code pointer (aligned) | 你的队伍
09d74a85 table/code pointer (aligned) | 百火烈焰困住了宝可梦！
09d74a9b table/code pointer (aligned) | 百火烈焰困住了宝可梦！
09d74ab1 table/code pointer (aligned) | 漫天沙尘困住了宝可梦！
09d74ac7 table/code pointer (aligned) | 漫天沙尘困住了宝可梦！
09d74b51 table/code pointer (aligned) | 极巨招式的伤害停止了！
09d74b67 table/code pointer (aligned) | 极巨招式造成了持续的伤害！
09d74be5 table/code pointer (aligned) | 异常的状态恢复了！
09d74bf7 table/code pointer (aligned) | 招式的威力正常了！
09d74c09 table/code pointer (aligned) | 胜利的舞蹈强化了招式的威力！
